1;142748;ACETAMINOFEN;ACETAMINOFEN;150MG/5ML X 120ML;LA SANTE;46.95;69.65;0.00
2;SM1;PARAFEN;ACETAMINOFEN;120MG/5ML X 120 ML;SM PHARMA;44.10;85.25;0.00
3;SM2;ACETAMINOFEN;ACETAMINOFEN;500MG X 20 TAB;SM PHARMA;0.00;36.74;0.00
4;140216;ACETAMINOFEN;ACETAMINOFEN;500MG X 20 TAB;LA SANTE;36.54;42.26;0.00
5;140218;ACETAMINOFEN;ACETAMINOFEN;650MGX10TAB;LA SANTE;18.55;21.13;0.00
6;140220;ACICLOVIR;ACICLOVIR;200MGX24TAB;LA SANTE;105.30;121.79;0.00
7;20223051;ALANTAMIDA;ALANTAMIDA;0,5%-0,4% CREMA X 20 GRAMOS;MEYER;85.26;125.83;0.00
8;SM9;ALBENDAZOL;ALBENDAZOL;200MG X 2 TAB;SM PHARMA;9.31;16.54;0.00
9;PT3302;ALGOREN;PROPRANOLOL CLORHIDRATO;40MG X 20 TAB;RONAVA;0.00;101.40;0.00
10;11600;ALIVET 4 DIAS;ACETAMINOF- CAFEI-CLORFENIR MALE;DIA X 8 CAP-NOCHE X 4 CAP;LETI;66.83;167.47;0.00
11;21660;ALIVET FA;ALIVET FA;X 20 COMP RECU;LETI;423.51;336.05;0.00
12;PT3304;ALURON;ALLOPURINOL;100 MG X 30 TAB;RONAVA;0.00;123.50;0.00
13;140228;AMBROXOL PEDIATRICO;AMBROXOL PEDIATRICO;15MG/5ML JBE X 120 ML;LA SANTE;72.40;87.13;0.00
14;SM12;AMBROX PEDIATRICO;AMBROXOL;15MG /5ML X 120ML JBE;SM PHARMA;38.22;67.89;0.00
15;SM14;AMLIP (AMLODIPINA) BLISTER;AMLIP (AMLODIPINA) BLISTER;10MG X 10 COMPRIMIDOS;SM PHARMA;0.00;3.39;0.00
16;140229;AMLODIPINO;AMLODIPINO;10MGX10TAB;LA SANTE;31.77;36.85;0.00
17;140238;AMOXICILINA;AMOXICILINA;500MG X 6 CAP;LA SANTE;55.58;72.16;0.00
18;VNQ1;AMOXICILINA;AMOXICILINA;500MG X 10 CAP;VENEQUIMEX;0.00;78.26;0.00
19;SM15;AMOXICILINA  SUSPENSION;AMOXICILINA  SUSPENSION;250MG/5ML;SM PHARMA;0.00;6.13;0.00
20;SM16;AMPICILINA (BLISTER);AMPICILINA (BLISTER);500 MG X 8 TAB;SM PHARMA;0.00;4.54;0.00
21;140240;AMPICILINA SUSP;AMPICILINA SUSP;250MG/5ML X 60ML PPS;LA SANTE;54.52;97.03;0.00
22;SM17;AMPICILINA SUSP;AMPICILINA SUSP;250MG/5ML X 60 ML;SM PHARMA;0.00;5.56;0.00
23;142783;ANALPER CAF;ACETAMINOFEN - CAFEINA;500MG-40MG X 10 TAB;LA SANTE;45.38;56.91;0.00
24;142784;ANALPER FORTE;ACETAMINOFEN;650MG X 10 TAB;LA SANTE;22.23;44.06;0.00
25;142693;ANALPER PEDIATRICO;JARABE (ACETAMINOFEN);150MG/5ML X 120 ML;LA SANTE;69.69;80.53;0.00
26;142785;ANALPER NAX;NAPROXENO;250 MG X 10 CAP;LA SANTE;63.79;73.71;0.00
27;142786;ANALPER PLUS;ACETAMINOFEN - HIOSCINA;500MG-10MG X 10 TAB;LA SANTE;84.27;131.71;0.00
28;26123;ASAPROL;ACIDO ACETILSALICILICO;81MG X 100 COMP;LETI;249.56;367.68;0.00
288;90011031;ASCAFYL;ASCAFYL;X 10 TAB;MEYER;58.38;86.35;0.00
30;94150041;ASCAFYL SC GOTAS;ASCAFYL SC GOTAS;0,4MG-80MG/ML X 15 ML SOL;MEYER;65.27;96.53;0.00
31;SM18;ATENOLOL;ATENOLOL;50MGX30 TAB;SM PHARMA;0.00;5.02;0.00
32;;ATODIP;ATODIP;5MG-20MG X 30 TAB;NO UTILIZAR - VALMORCA;0.00;0.00;0.00
33;140263;ATORVASTATINA;ATORVASTATINA;20MG X 14 TAB;LA SANTE;58.22;75.39;0.00
34;SM20;AZITROMICINA;AZITROMICINA;SUSPENSION;SM PHARMA;0.00;72.96;0.00
35;;BABILIN (ACETAMINOFEN-MALEATO DE CLORFENIR);BABILIN (ACETAMINOFEN-MALEATO DE CLORFENIR);80MG-0,5MG/ML SOL GOTAS;LETI;0.00;0.00;0.00
36;SM22;BACIDERM;BACIDERM;UNG 500 U.I X;SM PHARMA;0.00;13.96;0.00
37;;BACTEVAL;BACTEVAL;250MG-50MG X 24 CAP;NO UTILIZAR - VALMORCA;0.00;366530.00;0.00
38;PT3307;BACTRON;TRIMETOPRIM/SULFAMETOXAZOL;80MG/400MG X 20 TAB;RONAVA;0.00;123.50;0.00
39;123031071;BELOC;ATENOLOL;100MG X 20 TAB;MEYER;95.90;164.57;0.00
40;121031011;BENDAMEN;MEBENDAZOL;100MG X 6 TAB;MEYER;29.53;93.16;0.00
41;SM23;BENZOTIN (ANTIPARASITARIO);BENZOTIN (ANTIPARASITARIO);25% X120 ML;SM PHARMA;0.00;81.94;0.00
42;121031051;BENZODIAZOL TUTTI FRUTI;BENZODIAZOL TUTTI FRUTI;X 16 PASTILLAS;MEYER;89.91;90.90;0.00
43;141829;BETAHISTINA;BETAHISTINA;16MG X 20 TAB;LA SANTE;158.96;184.40;0.00
44;SM24;BOROSMENTOL ( TALCO ANTIMICOTICO PIES);BOROSMENTOL ( TALCO ANTIMICOTICO PIES);X 55 G;SM PHARMA;0.00;1.48;0.00
