1;DROPLANETA 2022, C.A;AV BARALT ESQUINA PADRE SIERRA A MUÑOZ EDIF DISCONTI PISO 1 LOCAL S/N URB CATEDRAL CARACAS DISTRITO CAPITAL ZONA POSTAL 1071;(0424) 298-70-72;J-501982562;CARACAS
2;DROGUERIA DRODER, C.A;CALLE RAUL LEONI LOCAL KOMBOKO NRO 1-A SECTOR DON
LUIS CARRIZAL MIRANDA ZONA POSTAL 1203;(0412) 592-25-63;J-501652856;CARACAS
3;DROGUERIA DROMARKET, C.A;CALLE MARIÑO EDIF EL BADAWI PISO PB LOCAL S/N SECTOR CENTRO CUMANA SUCRE ZONA POSTAL 6101;(0424) 808-05-81;J-412031660;CARACAS
4;DROGUERIA ANDROMAX, C.A;AV PEDRO RUSO FERRER CC VASCONIA NIVEL 1 LOCAL L001 LOS TEQUES EDO MIRANDA;(0412) 700-15-68;J-500508646;CARACAS
5;DROGUERIA BALTA, C.A;AV RIO PARAGUA CC CENTRO EMPRESARIAL LA PIRAMIDE NIVEL PB LOCAL 7 ZONA PRADOS DEL ESTE CARACAS MIRNDA;(0424) 276-49-57;J-413053128;CARACAS
6;DROGUERIA MEDIFARMA, C.A;AV LUIS DEL VALLE GARCIA ANTIGUA CARRERA 9-A EDIF
CENTRO EMPRESARIAL NUEVA ESPARTA PISO MEZZANINA LOCAL . SECTOR LAS
AVENIDAS MATURIN MONAGAS ZONA POS;(0412) 037-36-95;J-409856704;CARACAS
7;DROGUERIA HOSPITALARIA FARMACEUTICA DE VENEZUELA (DROHOSFARVEN), C.A.;AV LOS PROCERES EDIF MINCA PISO 2 LOCAL 4 SECTOR SANTA BARBARA MERIDA MÉRIDA ZONA POSTAL 5101;(0424) 737-51-02;J-317434765;CARACAS
9;DROGUERIA NENA, C.A;Carrera 3 con Calle 3. Edif. Dronena Zona Industrial III. Barquisimeto, Estado Lara , Venezuela;(0212) 219-42-55;J-08518977-7;CARACAS
10;DROGUERIA NENA, C.A;Zona Ind. del Este, Av. 2, Edif. Drogueria Nena. Guarenas, Estado Miranda, Venezuela;(0212) 219-42-55;J-085189777;CARACAS
11;BANCO DE DROGAS ANTINEOPLASICAS BADAN (FUNDACION BADAN);Avenida principal de Los Cortijos de Lourdes, edificio Centro Los Cortijos, piso 2 oficina 26. Caracas, Venezuela;(0212) 203-71-86;J-00130700-1;CARACAS
12;DISTRIBUIDORA DT09, C.A;Calle 9, Edif Miranda. Piso PB. Local C D Urb. La Urbina, municipio Sucre, Parroquia Petare, Estado Miranda, . Caracas;(0424) 106-59-14;J-405163615;CARACAS
13;INSUAMINCA, C.A.;AV CRUZ PEREZA LOCAL COMPLETO INDUSTRIAL EL TEIDE NRO 03 ZONA AVENIDA CRUZ PERAZA MATURIN MONAGAS ZONA POSTAL 6201;(0412) 082-37-61;J-412413740;CARACAS
14;DROGUERIA GAMA, C.A;CALLE 36 ENTRE CARRERAS 27 Y 28 EDIF ARGUELLOS PISO MEZZANINA OF S/N SECTOR CENTRO BARQUISIMETO EDO LARA ZONA POSTAL 3001;(0426) 460-89-45;J-410749571;CARACAS
15;DROGUERIA SAMARA, C.A;CALLE 40 CC MONTALBAN NIVEL LOCAL 2-2 URB MONTALBAN CARACAS DISTRITO CAPITAL ZONA POSTAL 1020;(0412) 209-78-31;J-412684159;CARACAS
16;DROGUERIA VITALCLINIC, C.A;AV ORINO ENTRE CALLE ISA Y CARRERA 17 LOCAL NRO 122 SECTOR CENTRO MATURIN MONAGAS ZONA POSTAL 6201;(0412) 295-81-21;J-412002260;CARACAS
17;DROMED CARE, C.A;AV AV. BOLIVAR CRUCE CON CALLE BRASIL LOCAL N° 272 NRO 272 SECTOR LA COROMOTO II MARACAY ARAGUA ZONA POSTAL 2102;(0414) 334-58-82;J- 412000934;CARACAS
18;SUMINISTROS MEDICOS ROMERO, C.A;AV LUIS DEL VALLE GARCIA EDIF CONSULTA EXTERNA DE LA CLINICA SANTA SOFIA PISO PB LOCAL 09 SECTOR CENTRO MATURIN MONAGAS ZONA POSTAL 6201;(0412) 083-10-33;J-406173622;CARACAS
19;DROUNICA DROGUERIAS UNIDAS, C.A;AV ARISTIDES ROJAS, CC PERMAGAS NIVEL PB LOCAL H SECTOR CENTRO CUMANA SUCRE ZONA POSTAL 6101;(0412) 187-28-61;J-500362390;CARACAS
20;BARCELOS G C.A;CALLE EL PESCADOR EDIF RESIDENCIAS DAN PISO 8 OF 83 ZONA SAN JUAN CARACAS DISTRITO CAPITAL ZONA POSTAL 1010;(0414) 212-14-78;J-500656521;CARACAS
21;DROPHARMA D&ampM;CALLE SANTA MARGARITA ED. TORRE CALIFORNIA PISO 2 OFC N°2-A URB LA CALIFORNIA CARACAS ZONA POSTAL 1071;(0212) 257-29-66;J-411939188;CARACAS
22;DROGUERIA QUINFARCA - 501 C.A;CALLE 157 EDF LA SALINA CASA NRO 99-20 URB EL RECREO - VALENCIA EDI. CARABOBO;(0414) 359-50-66;J-299205117;CARACAS
23;DROGUERIA SANTO REMEDIO, C.A;CALLE 6 ENTRE CARRERAS 5 Y 6 EDIF GALPON PISO PB LOCAL PARCELA 106 URB INDUSTRIAL NO.2 BARQUISIMETO LARA ZONA POSTAL 3001;(0414) 556-17-32;J-408215551;CARACAS
24;DROGUERIA DEL ZULIA 2021, C.A;AV 64 CASA NRO 99R-77 URB ALTOS DE LA VANEGA MARACAIBO ZULIA ZONA POSTAL 4001;(0424) 692-30-13;J-412003348;CARACAS
25;DROGUERIA ROI MEDICAL'S, C.A;CALLE 15 ENTRE CARRERAS 20 Y 21 LOCAL NRO 20-76 SECTOR BARRIO OBRERO SAN CRISTOBAL TACHIRA ZONA POSTAL 5001;(0424) 763-02-54;J-500957394;CARACAS
26;DROGUERIA BOA VIDA C.A;CALLE ESTE 6 ENTRE ESQUINA COLON Y DR. DIAZ EDIF OFICENTRO EDAL PISO 1 OF 1-1 SECTOR LA HOYADA CARACAS DISTRITO CAPITAL ZONA POSTAL 1020;04126715798;J-500328028;CARACAS
27;DROTUYA, C.A;AV PRINCIPAL PEREZ BONALDE EDIF CARACOLILLO PISO 3 LOCAL 1 SECTOR NUEVA CARACAS, CARACAS DISTRITO CAPITAL ZONA POSTAL;(0414) 377-88-66;J-500379625;CARACAS
28;DROGUERIA COL MEDICA, SOCIEDAD ANONIMA;CTRA H LOCAL S/N SECTOR H-5 CABIMAS ZULIA ZONA POSTAL4013;(0424) 191-79-29;J-314890638;CARACAS
29;DROGUERIA PARAGUANA DROPAR, C.A;AV COLOMBIA ESQUINA CALLE ALTAGRACIA EDIF ALIANZA PISO PLANTA ALTA LOCAL S/N SECTOR CENTRO PUNTO FIJO FALCON ZONA POSTAL 4102;(0412) 270-74-00;J-412177672;CARACAS
30;DROGUERIA LOS ANDES, C.A;CTRA PANAMERICANA EDIF DON PABLO PISO P/B LOCAL 01 SECTOR PATIECITOS PALMIRA TACHIRA ZONA POSTAL 5015;(0412) 652-16-92;J-500162944;CARACAS
31;DROGUERIA METROFARMA, C.A;FISCAL AV 2 EDIF SAN CARLO9S PISO PB LOCAL U URB CAMPO CLARO CARACAS MIRANDA ZONA POSTAL 1071;(0414) 834-99-91;J-413269317;CARACAS
32;DROGUERIA JASS C.A;CALLE PAEZ CON BRUZUAL CC SAN NICANDRO NIVEL 1 LOCAL LOCAL NUMERO 4 URB LOS GUAYOS LOS GUAYOS CARABOBO ZONA POSTAL 2003;(0414) 415-83-25;J-500685270;CARACAS
33;CORPORACION MEDICA FARMACEUTICA TRUJILLANA, C.A;CALLE AVENIDA 9 CON CALLE 8 EDIF C.C. EDIVICA PISO 4 OF 4-3 SECTOR CENTRO PQUIA MERCEDES DIAZ MCPIO VALERA TRUJILLO ZONA POSTAL 3101;(0424) 744-68-26;J-410841605;CARACAS
34;DROGUERIA PARENTERAL, C.A;AV CONSTITUCION CC CONJUNTO RESIDENCIAL COMERCIAL LOS MANGOS NIVEL PB LOCAL 42 SECTOR CENTRO SUR OESTE III MARACAY ARAGUA ZONA POSTAL 2103;(0414) 459-20-66;J-400614813;INTERIOR
35;PROVIFARMA, C.A;AV LOS PROCERES CC CENTRO PLAZA LOS PROCERES NIVEL PB LOCAL GALPON 10 SECTOR BELLA VISTA, MOCOTIES MERIDA MERIDA ZONA POSTAL 5101;(0274) 935-24-76;J-401734804;INTERIOR
36;CASA DE REPRESENTACION DISTRILAB, C.A.;CARACAS;(0414) 624-61-38;J-41222538-3;CARACAS
37;DROGUERIA PHARMACEUTICA VENECIA, C.A;CR CARRERA 2 CALLE 5 QTA SANTO CRISTO PARCELA 1 NRO 9 URS MERIDA SAN CRISTOBAL TACHIRA ZONA POSTAL 5001;(0416) 171-83-07;J-501102759;INTERIOR
38;FDO PHARMA, C.A.;CALLE CARABOBO CASA NRO 91 BARRIO 24 DE JULIO SANTA RITA ARAGUA ZONA POSTAL 2103;(0424) 204-92-51;J-401565158;CARACAS
39;DROGUERIA SOFIA C.A;AV CARABOBO CASA S/N NRO PB SECTOR EL GUARIO CANTAURA ANZOATEGUI ZONA POSTAL 6007;(0282) 455-04-36;J-293811350;CARACAS
40;SUMINISTROS MEDICOS DROCENTRO, C.A.;AV BICENTENARIO EDIF TORRE COFFER PISO 1 LOCAL 3 SECTOR CENTRO MATURIN MONAGAS ZONA POSTAL 6201;(0412) 082-37-61;J-411511552;INTERIOR
41;DROGUERIA MEDICA CONTINENTAL, C.A;AV 19 DE ABRIL EDIF TORRE COSMOPOLITAN PISO 3 OF 31 SECTOR CENTRO MARACAY ARAGUA ZONA POSTAL 2102;(0424) 323-09-16;J-500373961;INTERIOR
42;INVERSORA VITAMANIA CCCT 5, C.A;CALLE LA ESTANCIA CC CIUDAD TAMANACO NIVEL C2 LOCAL 53K-04 URB CHACAO CARACAS (CHACAO) MIRANDA ZONA POSTAL 1060;(0424) 119-44-14;J-413248867;CARACAS
43;DROGUERIA SANTA BARBARA, C.A.;AV SUR ENTRE ESQ. DE VIENTO Y MUERTO EDIF CILIYEX 2 PISO MEZZANINA LOCAL NRO. 2 URB SANTA ROSALIA CARACAS DISTRITO CAPITAL ZONA POSTAL 1040;(0414) 926-63-74;J-500031726;CARACAS
44;DROGUERIA EDA C.A;AV 15 ESQUINA CON CALLE 70 EDIF GRAN HOTEL DELICIAS PISO PB LOCAL 4 SECTOR DELICIAS MARACAIBO EDO. ZULIA;(0424) 630-95-85;J-500925115;INTERIOR
45;CRIST MEDICALS C.A.;AV AVENIDA LUCIO OQUENDO, ENTRE CALLE 3 Y AVENIDA 19 DE ABRIL QTA ALELUYA ZONA LA CONCORDIA SAN CRISTOBAL TACHIRA ZONA POSTAL 5001;(0424) 723-83-17;J-412236709;INTERIOR
46;DROGUERIA D&ampC MEDICAL, C.A;CALLE LAS DELIAS LOCAL GALPON NRO1 SECTOR LOS ROSALES EJIDO MERIDA ZONA POSTAL 5111;(0412) 649-11-68;J-411283193;INTERIOR
47;EL MASTRANTO M&ampM, C.A;AV INDEPENDENCIA, LOCAL N°16, SECTOR EL LLANO DE MIQUILEN, LOS TEQUES, MIRANDA, ZONA POSTAL 1201;(0412) 701-09-56;J-404310975;CARACAS
48;GRUPO DRACOM, C.A;CALLE 05 QTA CR MANZANA SUR NRO 060 CONJUNTO
RESIDENCIAL CUIDAD REAL BARCELONA ANZOATEGUI ZONA POSTAL 6001;(0424) 865-01-04;J-500958340;CARACAS
49;DROGUERÍA DROAVILA C.A;AV LA SALLE EDIF TORRE INPREABOGADO PISO 3 OF 301
